oyun,92938801,0
sadas,91403595,0
asda,58246066,0
,19125769,0
sadsad,53434928,0
sdf,10948512,0
sadad,60692654,210
ogün,17626033,350
asasd,99893297,210
asdasd,80322376,50
sdfdsf,64368601,50
sfdfsdfs,58817828,60
,42203225,60
sdadas,31556016,0
dsfsdfsdf,29795980,60
asdasdas,85060501,110
asdasd,68410147,50
asdasd,71048709,120
sad,13174251,50
sadas,47956204,110
sadasdasd,52231225,90
asdasdas,88393654,50
asdsadsad,58826421,50
sadsad,89456248,70
,36935067,80
asdsad,75191036,0
asdsadas,99357423,20
qqqq,60720459,0
sadsada,28739207,0
sadas,70191221,20
sadas,80222456,100
sdasd,64629640,100
asasa,48925804,20
asdsad,44782198,60
saddas,18967497,10
asdsa,69071467,0
asdsad,64542738,10
sadsad,04977915,20
sadsada,82924957,440
asdasd,96012933,130
asdasd,44884489,0
asdasd,74564325,110
asdsada,59487520,0
sadsada,95225115,0
